Trial,calltype,rms,maxAmp,meanS,stdS,skewS,kurtS,entS,q1,q2,q3,meanT,stdT,skewT,kurtT,entT
echolocation,echo,15.25447,18.6887,41323.56,11380.52,-0.30969,1.961642,0.925294,32437.5,43312.5,51750,0.257909,0.145426,-0.05711,1.792245,0.999017
echolocation,echo,17.86708,23.87542,38051.95,11871.26,0.069996,1.732981,0.928218,27000,38625,48750,0.260016,0.144983,-0.04344,1.827631,0.996139
echolocation,echo,19.69751,24.73911,36200.51,11651.13,0.273783,1.861427,0.92508,25500,35812.5,46125,0.253961,0.143071,-0.03873,1.787463,0.995546
echolocation,echo,19.28757,24.71983,36564.62,11735.61,0.218072,1.831653,0.926947,25875,36562.5,46687.5,0.248514,0.142213,0.005548,1.857607,0.995355
echolocation,echo,19.87322,24.69737,35542.98,11969.65,0.33502,1.83766,0.923051,24562.5,34687.5,45937.5,0.247206,0.145031,0.013097,1.739739,0.995025
echolocation,echo,18.38688,24.74616,36948.55,12064.7,0.173172,1.742514,0.926955,25500,37125,47812.5,0.363571,0.213533,0.055351,1.828463,0.996309
echolocation,echo,16.55674,21.79411,39099.05,11891.27,-0.07036,1.762085,0.92902,27937.5,40500,49875,0.367891,0.224447,0.054156,1.767606,0.997714
echolocation,echo,15.64171,19.06027,40856.25,11274.11,-0.25125,1.960618,0.924877,32062.5,42562.5,51000,0.252648,0.14701,0.011259,1.767243,0.998649
echolocation,echo,15.18024,19.07679,41543.28,11106.34,-0.33331,2.049422,0.921627,33937.5,43312.5,51562.5,0.251693,0.143222,-0.03106,1.81629,0.998908
echolocation,echo,18.24638,22.69832,38253.16,11656.71,0.101864,1.708756,0.921863,26625,38625,48937.5,0.253406,0.140986,-0.01807,1.807342,0.996238
echolocation,echo,41.80126,58.88313,31523.14,9227.649,1.134828,3.496603,0.8764,24750,28687.5,36000,0.263529,0.136202,-0.14706,1.965108,0.983186
echolocation,echo,35.26341,58.83126,32629.53,9844.959,0.931185,2.889441,0.890504,25125,29625,38625,0.388073,0.20296,-0.14563,1.973548,0.98692
echolocation,echo,15.89107,27.18014,40242.45,11509.02,-0.19706,1.951779,0.934428,31125,41625,50625,0.370786,0.209995,0.061701,1.86346,0.996578
echolocation,echo,13.30977,11.77945,44135.06,10072.02,-0.56912,2.603069,0.910631,38250,45750,53250,0.374282,0.216061,-0.00248,1.800419,0.999928
echolocation,echo,13.35525,12.68555,44146.67,10092.09,-0.57596,2.606229,0.910994,38250,45750,53250,0.375892,0.215723,-0.00205,1.803501,0.999642
echolocation,echo,13.43292,12.86056,43783.51,10257.77,-0.56305,2.562242,0.913777,37687.5,45375,52875,0.25048,0.143849,-0.00458,1.795707,0.999433
echolocation,echo,13.33476,12.96503,44070.89,10108.75,-0.5572,2.571955,0.911276,38062.5,45750,53250,0.501562,0.287903,-0.00889,1.797825,0.999811
echolocation,echo,13.35212,12.68928,44070.27,10110.66,-0.5587,2.575131,0.91112,38250,45750,53250,0.397318,0.228154,-0.00836,1.799132,0.999802
echolocation,echo,15.5239,19.95743,39944.37,11866.3,-0.17569,1.822003,0.931274,29625,41625,50812.5,0.256183,0.144092,-0.02722,1.809826,0.998294
echolocation,echo,17.01565,19.9628,37406.86,12305.11,0.101998,1.698521,0.931073,25687.5,38062.5,48750,0.25736,0.143277,-0.08744,1.781834,0.997172
echolocation,echo,20.32068,28.28268,34807.29,11876.04,0.464907,1.941113,0.921364,24375,32437.5,45187.5,0.262078,0.141454,-0.11707,1.846941,0.995854
echolocation,echo,22.298,28.26974,33871.14,11573.18,0.600499,2.131369,0.915713,24000,30937.5,43312.5,0.256171,0.140322,-0.06063,1.843755,0.995643
echolocation,echo,23.53794,31.9296,32841.89,11307.17,0.7113,2.340472,0.909351,23437.5,29437.5,41437.5,0.255546,0.141614,-0.04639,1.803461,0.993678
echolocation,echo,20.90531,31.92181,33589.08,11533.22,0.615537,2.174512,0.915764,23812.5,30750,42937.5,0.368845,0.207274,0.020843,1.904456,0.995032
echolocation,echo,20.79996,31.89566,34137.24,11768.8,0.538279,2.039689,0.919316,24000,31500,43875,0.360737,0.20804,0.086744,1.91384,0.994778
echolocation,echo,13.41179,12.96573,43913.89,10200.69,-0.52937,2.480781,0.912729,37687.5,45562.5,53250,0.376674,0.215751,-0.02076,1.806217,0.999797
echolocation,echo,15.04087,29.11424,38938.04,12678.83,-0.14273,1.722265,0.932292,27000,41250,50625,0.252653,0.140926,-0.02949,1.872087,0.996867
echolocation,echo,13.83507,16.12547,41178.41,12000.8,-0.39096,2.015782,0.93027,32625,43500,52125,0.252644,0.142725,-0.03492,1.825992,0.999249
echolocation,echo,13.87682,16.11709,41215.18,12022.17,-0.39627,2.028334,0.930285,32812.5,43500,52125,0.249017,0.142221,0.0285,1.817912,0.999101
echolocation,echo,28.30897,35.65468,34834,11171.4,0.366153,1.970268,0.917221,24562.5,34125,44437.5,0.270802,0.146016,-0.1583,1.867745,0.988006
echolocation,echo,25.66072,47.53897,34719.89,11333.04,0.380175,1.979712,0.920094,24375,33937.5,44437.5,0.387998,0.210462,-0.04768,1.95861,0.986355
echolocation,echo,42.97106,40.0159,36349.37,9804.445,0.183004,2.150851,0.911153,27375,37125,43125,0.242158,0.140065,0.082224,1.946248,0.99128
echolocation,echo,25.75339,36.8234,35778.59,11769.64,0.314024,1.833576,0.910073,24187.5,35437.5,44812.5,0.245449,0.140092,0.045111,1.902884,0.99316
echolocation,echo,13.30508,14.16006,42990.43,10746.75,-0.47489,2.306648,0.920335,36187.5,45000,52687.5,0.249083,0.142104,0.02471,1.833759,0.999087
echolocation,echo,13.18798,14.15409,43233.72,10642.47,-0.49513,2.360061,0.918439,36562.5,45187.5,52875,0.372035,0.216318,0.026377,1.787783,0.999526
echolocation,echo,12.93806,12.08465,44114.27,9989.929,-0.51604,2.49124,0.91035,37875,45750,53250,0.250685,0.143277,0.00045,1.800668,0.999734
echolocation,echo,13.0519,12.00233,43760.91,10202.08,-0.48535,2.416624,0.913857,37312.5,45375,53062.5,0.2527,0.14418,-0.01513,1.792881,0.999684
echolocation,echo,15.69644,25.00772,39835.33,11181.18,-0.07388,1.956089,0.930609,31500,40312.5,49875,0.260869,0.146194,-0.08975,1.780879,0.996574
echolocation,echo,14.97485,25.0211,40571.61,11189.56,-0.18059,1.98808,0.929975,32437.5,41625,50812.5,0.369976,0.213339,0.070551,1.811013,0.997402
